Job;Node;Variant;Weight;LiveIdle;Marginal;PredTotal;RawPerf;RawEff;NormPerf;NormEff;FinalScore
ml-train-job-fqvxc;rpi;rpi-cpu;0.2;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-fqvxc;tvpc;tvpc-cpu;0.2;52.20;86.83;139.03;68.39;0.4919;4.0;6.5;5
ml-train-job-fqvxc;tvpc;tvpc-gpu;0.2;52.20;176.66;228.86;1715.98;7.4979;100.0;99.1;99
ml-inference-job-8n6fs;dgoh-wyze;dgoh-wyze-cpu;0.2;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;34
ml-inference-job-8n6fs;rpi;rpi-cpu;0.2;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-8n6fs;tvpc;tvpc-cpu;0.2;52.80;70.89;123.69;22036.82;178.1617;37.3;24.8;27
ml-inference-job-8n6fs;tvpc;tvpc-gpu;0.2;52.80;48.08;100.88;59110.14;585.9451;100.0;81.5;85
ml-preprocessing-job-8xqpc;rpi;rpi-cpu;0.3;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;14
ml-preprocessing-job-8xqpc;tvpc;tvpc-cpu;0.3;56.60;27.46;84.06;1184.01;14.0853;100.0;9.6;36
ml-preprocessing-job-8xqpc;dgoh-wyze;dgoh-wyze-cpu;0.3;9.90;2.28;12.18;288.58;23.6930;24.4;16.1;18
ml-preprocessing-job-8xqpc;tvpc;tvpc-gpu;0.3;56.60;40.40;97.00;6.73;0.0694;0.6;0.0;0
ml-train-job-mx6cz;dgoh-wyze;dgoh-wyze-cpu;0.3;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;6
ml-train-job-mx6cz;rpi;rpi-cpu;0.3;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-mx6cz;tvpc;tvpc-cpu;0.3;53.10;86.83;139.93;68.39;0.4887;4.0;6.5;5
ml-train-job-mx6cz;tvpc;tvpc-gpu;0.3;53.10;176.66;229.76;1715.98;7.4686;100.0;98.7;99
ml-inference-job-ggj2v;tvpc;tvpc-cpu;0.3;52.60;70.89;123.49;22036.82;178.4502;37.3;24.8;28
ml-inference-job-ggj2v;tvpc;tvpc-gpu;0.3;52.60;48.08;100.68;59110.14;587.1091;100.0;81.7;87
ml-inference-job-ggj2v;rpi;rpi-cpu;0.3;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-ggj2v;dgoh-wyze;dgoh-wyze-cpu;0.3;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;30
ml-preprocessing-job-hrkhz;dgoh-wyze;dgoh-wyze-cpu;0.4;10.30;2.28;12.58;279.05;22.1819;23.6;15.1;18
ml-preprocessing-job-hrkhz;rpi;rpi-cpu;0.4;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;12
ml-preprocessing-job-hrkhz;tvpc;tvpc-cpu;0.4;55.10;27.46;82.56;1184.01;14.3412;100.0;9.7;45
